,id,rank,FDR,sign,log_FDR,log_rank,srank,desc,iBAQ SPORO1,iBAQ SPORO2,iBAQ SPORO3,iBAQ WALL1,iBAQ WALL2,iBAQ WALL3,iBAQ SPORO4,iBAQ SPORO5,iBAQ SPORO6,iBAQ WALL4,iBAQ WALL5,iBAQ WALL6,log_sum,FDR2,Prediction,SP(Sec/SPI),OTHER,CS Position
cgd2_2580-RA-p1,12,2773.5060829999998,0.0,+,3.0457574905606752,-3.44302912273349,2773.5060829999998,Uncharacterized protein,691760.0,773730.0,463190.0,98852.0,131230.0,141760.0,10060000.0,7061400.0,7507000.0,25439.0,44356.0,37204.0,6.352759922700521,-0.0,SP(Sec/SPI),0.700457,0.299543,CS pos: 29-30. VRS-NN. Pr: 0.3338
cgd7_1930-RA-p1,13,2427.246039,0.0,+,3.0457574905606752,-3.385113801039074,2427.246039,Creatinase/Aminopeptidase P/Spt16/cdc68p/PH-like domain-containing protein,448100.0,605280.0,367480.0,44830.0,155890.0,202640.0,12969000.0,7980500.0,7617600.0,7129.9,0.0,5329.7,6.403746329580596,-0.0,OTHER,0.001245,0.998755,
cgd1_1060-RA-p1,14,2373.689264,0.0,+,3.0457574905606752,-3.375423865518803,2373.689264,Uncharacterized protein with Armadillo-type fold,214910.0,166560.0,160680.0,13081.0,4231.5,94181.0,7144700.0,3945800.0,4291100.0,21458.0,0.0,31040.0,6.127313833294821,-0.0,OTHER,0.0009400000000000001,0.9990600000000001,
cgd6_2060-RA-p1,15,2312.4268030000003,0.0,+,3.0457574905606752,-3.36406799457591,2312.4268030000003,"Cdc39p protein-like C-terminal Not1, CCR4-Not complex component Not1",81313.0,76350.0,17762.0,2242.1,4381.5,3749.2,2615400.0,2273400.0,2452000.0,0.0,0.0,10336.0,5.798013454653253,-0.0,OTHER,0.000643,0.9993569999999999,
cgd5_3850-RA-p1,16,2281.1205800000002,0.0,+,3.0457574905606752,-3.3581482426832854,2281.1205800000002,Adapter-protein complex 1 gamma subunit,728700.0,846370.0,598410.0,39668.0,112540.0,151510.0,14215000.0,10015000.0,9777400.0,70671.0,74667.0,96320.0,6.485795411091098,-0.0,OTHER,0.0006519999999999999,0.9993479999999999,
cgd7_1800-RA-p1,17,2237.416584,0.0,-,3.0457574905606752,3.349746852799655,-2237.416584,Chitin-binding type-2 domain containing protein,0.0,0.0,0.0,4912400.0,13968000.0,5551600.0,362480.0,350020.0,131950.0,21225000.0,19995000.0,20979000.0,6.86270493925438,-0.0,OTHER,0.287464,0.712536,
cgd6_4640-RA-p1,18,2205.586855,0.0,-,3.0457574905606752,3.3435241647689287,-2205.586855,Uncharacterized protein,0.0,0.0,0.0,264220.0,403430.0,803490.0,103420.0,109280.0,307050.0,12370000.0,13922000.0,12603000.0,6.5323922098226195,-0.0,SP(Sec/SPI),0.72992,0.27008000000000004,CS pos: 22-23. NQA-TV. Pr: 0.3169
cgd1_1250-RA-p1,19,2085.125454,0.0,+,3.0457574905606752,-3.319132189928891,2085.125454,Uncharacterized Secreted Protein (CpLSP gene family),168350.0,300810.0,169940.0,6050.8,8401.1,4511.9,5500600.0,3975500.0,4129700.0,0.0,0.0,0.0,6.075055937233047,-0.0,OTHER,0.430727,0.5692729999999999,
cgd8_2650-RA-p1,20,2049.4328739999996,0.0,+,3.0457574905606752,-3.31163369824227,2049.4328739999996,Uncharacterized protein with Armadillo-type fold,174090.0,273370.0,157470.0,9698.3,16939.0,16935.0,4501500.0,3652100.0,4083600.0,48848.0,30926.0,51423.0,6.035326299069861,-0.0,OTHER,0.013486000000000001,0.9865139999999999,
cgd6_2920-RA-p1,21,1766.812771,0.0,-,3.0457574905606752,3.2471905297955357,-1766.812771,Uncharacterized protein,0.0,0.0,0.0,2273700.0,2327900.0,4503200.0,823040.0,1009100.0,681950.0,29617000.0,37489000.0,30663000.0,6.959787999192145,-0.0,OTHER,0.001277,0.9987229999999999,
cgd8_1270-RA-p1,22,1519.852353,0.0,+,3.0457574905606752,-3.1818014001869646,1519.852353,Clathrin heavy chain,1691000.0,2046500.0,1171400.0,59193.0,141390.0,104020.0,22643000.0,16053000.0,16693000.0,360470.0,212080.0,254320.0,6.709194836518726,-0.0,OTHER,0.002989,0.9970110000000001,
cgd8_4230-RA-p1,23,1393.992373,0.0,-,3.0457574905606752,3.1442603975976615,-1393.992373,Glucose-methanol-choline oxidoreductase,0.0,0.0,0.0,1309100.0,1654800.0,2725700.0,1409300.0,589590.0,805680.0,27403000.0,29219000.0,27501000.0,6.887510260558846,-0.0,OTHER,0.45423900000000006,0.5457609999999999,
cgd4_3090-RA-p1,24,1380.664182,0.0,-,3.0457574905606752,3.140088058274763,-1380.664182,Oocyst wall protein 6,0.0,0.0,17743.0,65126000.0,148040000.0,89944000.0,23795000.0,22338000.0,23386000.0,244370000.0,219230000.0,246940000.0,7.955522090044941,-0.0,SP(Sec/SPI),0.9990959999999999,0.000904,CS pos: 22-23. VNA-QH. Pr: 0.9612
cgd6_3820-RA-p1,25,1360.733092,0.0,-,3.0457574905606752,3.133772946629221,-1360.733092,Aspartic peptidase A1 family,75352.0,140110.0,54732.0,2219200.0,2131000.0,2825200.0,4443200.0,2261000.0,2454600.0,31191000.0,31095000.0,21513000.0,6.92256714774303,-0.0,SP(Sec/SPI),0.97021,0.029789999999999997,CS pos: 18-19. AFC-EG. Pr: 0.5523
cgd1_750-RA-p1,26,1272.5670929999999,0.0,+,3.0457574905606752,-3.10468068873103,1272.5670929999999,Dynein heavy chain,1071900.0,1264000.0,816840.0,28540.0,51917.0,58265.0,13796000.0,11527000.0,11135000.0,374390.0,216810.0,349750.0,6.530310841161785,-0.0,OTHER,0.016053,0.9839469999999999,
cgd7_180-RA-p1,27,1197.8066390000001,0.0,-,3.0457574905606752,3.0783867158888434,-1197.8066390000001,Uncharacterized protein,0.0,0.0,0.0,18305000.0,44561000.0,17487000.0,5341500.0,2152900.0,2088600.0,135230000.0,38893000.0,50318000.0,7.41826951925083,-0.0,SP(Sec/SPI),0.981498,0.018502,CS pos: 21-22. ISC-EE. Pr: 0.8595
cgd1_1240-RA-p1,28,1193.4112710000002,0.0,+,3.0457574905606752,-3.0767901351588174,1193.4112710000002,Sec14 domain containing protein,166320.0,186800.0,212670.0,23805.0,154880.0,52465.0,10489000.0,8511300.0,8235900.0,31862.0,41505.0,41232.0,6.370262269329429,-0.0,OTHER,0.000266,0.999734,
cgd3_2360-RA-p1,29,1181.404126,0.0,+,3.0457574905606752,-3.0723984832780706,1181.404126,Peptidase S59 nucleoporin,292500.0,433090.0,315560.0,22415.0,42716.0,57981.0,7634200.0,4606400.0,5389900.0,58064.0,77275.0,75601.0,6.199702669411927,-0.0,OTHER,0.005375,0.994625,
cgd5_3073-RA-p1,30,1162.5637390000002,0.0,-,3.0457574905606752,3.0654167729487716,-1162.5637390000002,Carboxylic ester hydrolase,193930.0,122470.0,133660.0,4710800.0,5672000.0,8046300.0,8714600.0,7911200.0,8538100.0,35310000.0,37744000.0,34312000.0,7.100970617163202,-0.0,OTHER,0.34573200000000004,0.6542680000000001,
cgd1_370-RA-p1,31,1152.804351,0.0,-,3.0457574905606752,3.06175560695559,-1152.804351,carboxypeptidase A with signal peptide region,0.0,0.0,0.0,1098900.0,1252600.0,2572300.0,1052100.0,1106900.0,952410.0,24063000.0,19446000.0,23071000.0,6.793646119571961,-0.0,OTHER,0.164825,0.835175,
cgd7_3110-RA-p1,32,1110.358219,0.0,-,3.0457574905606752,3.0454631116130018,-1110.358219,S1/P1 nuclease,0.0,0.0,0.0,757040.0,610040.0,802520.0,697100.0,314300.0,602660.0,13066000.0,11438000.0,10758000.0,6.512391522183639,-0.0,SP(Sec/SPI),0.9508409999999999,0.049158999999999994,CS pos: 22-23. VLA-FD. Pr: 0.6857
cgd3_1540-RA-p1,33,1009.50723,0.0,-,3.0457574905606752,3.004109433668821,-1009.50723,Signal peptide containing protein,2585400.0,2135200.0,1997500.0,40658000.0,51430000.0,78127000.0,94290000.0,93139000.0,93350000.0,863760000.0,834480000.0,807240000.0,8.392578561107637,-0.0,SP(Sec/SPI),0.9785530000000001,0.021447,CS pos: 20-21. TLS-EP. Pr: 0.8293
cgd7_4560-RA-p1,34,981.850702,0.0,-,3.0457574905606752,2.992045454969263,-981.850702,Sushi/SCR/CCP/SbsA/lg-like domain containing protein,0.0,0.0,0.0,3710300.0,5052300.0,7357700.0,3218000.0,2986700.0,2966700.0,58593000.0,52458000.0,59865000.0,7.213534800838773,-0.0,SP(Sec/SPI),0.8115180000000001,0.18848199999999998,CS pos: 28-29. VRS-NL. Pr: 0.6601
cgd7_400-RA-p1,35,972.916857,0.0,-,3.0457574905606752,2.988075728152281,-972.916857,Uncharacterized protein,1033000.0,1176300.0,750640.0,91821000.0,120950000.0,161840000.0,573900000.0,833860000.0,719720000.0,510990000.0,550430000.0,456920000.0,8.525410987576544,-0.0,SP(Sec/SPI),0.9253959999999999,0.07460399999999999,CS pos: 20-21. VRG-AP. Pr: 0.7550
cgd6_2900-RA-p1,36,953.998924,0.0,-,3.0457574905606752,2.97954788487063,-953.998924,Exostosin-like protein,0.0,0.0,0.0,883320.0,255500.0,232360.0,1080800.0,537290.0,766750.0,13663000.0,14997000.0,13653000.0,6.58422772780438,-0.0,OTHER,0.001078,0.998922,
cgd4_450-RA-p1,37,947.291598,0.0,+,3.0457574905606752,-2.976483685348662,947.291598,Proteasome activator Blm10 mid region-containing protein,273980.0,259290.0,130890.0,38562.0,55589.0,48808.0,4886000.0,3675000.0,3607800.0,0.0,15920.0,29129.0,6.035462025544886,-0.0,OTHER,0.00026000000000000003,0.99974,
cgd1_3550-RA-p1,38,945.771854,0.0,-,3.0457574905606752,2.9757863853461735,-945.771854,Apple domain containing protein,0.0,0.0,0.0,1132100.0,1401700.0,2273400.0,2372700.0,1187200.0,1410100.0,24624000.0,29404000.0,27989000.0,6.883633995201856,-0.0,OTHER,0.001928,0.998072,
cgd6_4840-RA-p1,39,924.9244800000001,0.0,-,3.0457574905606752,2.966106274081508,-924.9244800000001,"Serine protease, subtilase family, signal peptide",0.0,0.0,0.0,4564800.0,5425100.0,7632500.0,4104000.0,3430200.0,3964400.0,71100000.0,65278000.0,64492000.0,7.282529595505565,-0.0,SP(Sec/SPI),0.744158,0.255842,CS pos: 23-24. VIC-NI. Pr: 0.6951
cgd8_5090-RA-p1,40,920.2708880000001,0.0,-,3.0457574905606752,2.963915683701085,-920.2708880000001,Uncharacterized protein,351850.0,39395.0,0.0,7495800.0,6711700.0,16453000.0,12099000.0,4898700.0,8989400.0,43673000.0,45060000.0,51594000.0,7.216090752278695,-0.0,OTHER,0.000475,0.999525,
cgd6_1450-RA-p1,41,908.381851,0.0,-,3.0457574905606752,2.9582684486550392,-908.381851,Polysaccharide pyruvyl transferase with Fringe-like domain,1701500.0,1977100.0,1345800.0,33223000.0,38370000.0,63091000.0,64458000.0,57523000.0,45567000.0,359670000.0,360670000.0,383100000.0,8.070252312007367,-0.0,SP(Sec/SPI),0.825723,0.174277,CS pos: 22-23. TNS-ST. Pr: 0.5659
cgd7_2583-RA-p1,42,837.8254860000001,0.0,-,3.0457574905606752,2.9231535671266777,-837.8254860000001,Polysaccharide pyruvyl transferase,32177.0,15365.0,4162.7,150490.0,324510.0,400180.0,415050.0,474650.0,546630.0,4033500.0,5020400.0,4474400.0,6.1219840479187475,-0.0,OTHER,0.003773,0.9962270000000001,
cgd6_300-RA-p1,43,781.510492,0.0,-,3.0457574905606752,2.8929348129209345,-781.510492,Uncharacterized protein,0.0,0.0,0.0,7250500.0,16236000.0,10125000.0,9560300.0,8790200.0,5599700.0,96142000.0,135480000.0,109990000.0,7.521980673538802,-0.0,OTHER,0.0011279999999999999,0.998872,
cgd4_670-RA-p1,44,768.530701,0.0,-,3.0457574905606752,2.8856612212288266,-768.530701,Oocyst wall protein 3,0.0,0.0,0.0,54238000.0,64280000.0,96987000.0,30819000.0,27099000.0,31509000.0,410980000.0,453160000.0,459700000.0,8.132679048775287,-0.0,SP(Sec/SPI),0.985217,0.014783000000000001,CS pos: 25-26. VSA-NG. Pr: 0.5284
cgd6_5330-RA-p1,45,751.979642,0.0,+,3.0457574905606752,-2.8762060832954446,751.979642,Uncharacterized protein,151720.0,142410.0,120810.0,0.0,8377.5,6674.3,5145100.0,4217400.0,4371200.0,136940.0,30646.0,0.0,6.077103668477319,-0.0,OTHER,0.000997,0.9990030000000001,
cgd6_4550-RA-p1,46,751.17518,0.0,+,3.0457574905606752,-2.87574122972781,751.17518,Ubiquitinyl hydrolase,647760.0,224070.0,86793.0,28956.0,26250.0,13098.0,8846600.0,5438000.0,6106700.0,0.0,0.0,0.0,6.251602271055775,-0.0,OTHER,0.000967,0.999033,
cgd1_3730-RA-p1,47,711.79093,0.0,+,3.0457574905606752,-2.852352449703164,711.79093,Glucosamine-fructose-6-phosphate aminotransferase/Sugar isomerase (SIS),229880.0,181480.0,54251.0,22643.0,29103.0,38793.0,10108000.0,9079000.0,7275300.0,45181.0,0.0,54013.0,6.354070708976082,-0.0,OTHER,0.0007160000000000001,0.9992840000000001,
cgd2_3780-RA-p1,48,691.560064,0.0,-,3.0457574905606752,2.839829905820498,-691.560064,Uncharacterized protein,41810.0,0.0,0.0,1931000.0,1258700.0,1929500.0,4861900.0,3132800.0,1864000.0,21822000.0,21530000.0,21591000.0,6.823706258234148,-0.0,SP(Sec/SPI),0.9843780000000001,0.015622,CS pos: 19-20. VLS-QD. Pr: 0.8843
cgd6_4440-RA-p1,49,691.322538,0.0,-,3.0457574905606752,2.8396807156694703,-691.322538,Uncharacterized protein,0.0,0.0,0.0,3374800.0,2841600.0,4185700.0,1549500.0,3482900.0,3322600.0,41517000.0,32054000.0,31035000.0,7.012004028212904,-0.0,OTHER,0.00037799999999999997,0.9996219999999999,
cgd7_1970-RA-p1,50,663.199439,0.0,+,3.0457574905606752,-2.821644150172936,663.199439,NPL4 Nuclear pore localisation protein Npl4 /Ubiquitin-like domain containing protein,616940.0,483580.0,402510.0,37880.0,42128.0,77404.0,8495100.0,9405900.0,9930600.0,0.0,0.0,0.0,6.390523597668288,-0.0,OTHER,0.00098,0.99902,
cgd4_500-RA-p1,51,649.403128,0.0002,-,2.958607314841775,2.8125143761745957,-649.403128,Oocyst wall protein 7,0.0,0.0,0.0,4245100.0,7858300.0,7056100.0,4830100.0,3320700.0,3140000.0,45560000.0,45514000.0,49002000.0,7.152610122993704,-0.0002,SP(Sec/SPI),0.568969,0.43103100000000005,CS pos: 35-36. INS-EN. Pr: 0.5226
cgd3_1220-RA-p1,52,640.14837,0.0002,-,2.958607314841775,2.806280643990706,-640.14837,Hyaluronan/mRNA-binding protein,272840.0,178080.0,410430.0,12033000.0,23201000.0,29753000.0,148780000.0,159150000.0,144810000.0,116370000.0,132040000.0,62300000.0,7.83952955524859,-0.0002,OTHER,0.002407,0.9975930000000001,
cgd2_850-RA-p1,53,632.055534,0.0002,-,2.958607314841775,2.8007552381719227,-632.055534,Uncharacterized protein,49371.0,0.0,0.0,8715100.0,10842000.0,11988000.0,15855000.0,17249000.0,18628000.0,87826000.0,81222000.0,75992000.0,7.437177559515848,-0.0002,SP(Sec/SPI),0.544608,0.455392,CS pos: 27-28. VIG-EI. Pr: 0.4951
cgd7_2620-RA-p1,54,625.559226,0.0002,+,2.958607314841775,-2.7962684336254897,625.559226,ClpB Atpase/signal peptide containing protein,340210.0,338030.0,250220.0,26683.0,44633.0,29105.0,2877300.0,1907200.0,1698400.0,0.0,0.0,0.0,5.796561671884823,-0.0002,OTHER,0.38392600000000005,0.616074,
cgd7_5150-RA-p1,55,614.423253,0.0002,-,2.958607314841775,2.7884676433165745,-614.423253,Chitin-binding type-2 domain containing protein,0.0,0.0,0.0,6472200.0,9496500.0,11534000.0,6659500.0,6505200.0,4243300.0,65856000.0,62533000.0,70761000.0,7.3083166065066445,-0.0002,SP(Sec/SPI),0.985015,0.014985,CS pos: 23-24. SVS-QF. Pr: 0.5453
cgd1_3210-RA-p1,56,599.50981,0.0002,+,2.958607314841775,-2.7777962940136995,599.50981,Uncharacterized protein,388820.0,572240.0,373890.0,0.0,13899.0,72888.0,8667500.0,5294700.0,7980200.0,0.0,0.0,0.0,6.2893684980946585,-0.0002,OTHER,0.006556,0.9934440000000001,
cgd1_800-RA-p1,57,584.427844,0.0002,-,2.958607314841775,2.7667308989246258,-584.427844,Protein disulfide isomerase,0.0,0.0,0.0,13290000.0,16094000.0,24000000.0,16964000.0,18803000.0,17123000.0,184140000.0,194910000.0,183570000.0,7.74617605428746,-0.0002,SP(Sec/SPI),0.752807,0.247193,CS pos: 20-21. SFG-FG. Pr: 0.3440
cgd2_3320-RA-p1,58,571.6883799999999,0.00033999999999999997,-,2.906578314837765,2.757159364939187,-571.6883799999999,Papain family cysteine protease,0.0,0.0,0.0,1704000.0,1761000.0,3429600.0,1905700.0,1655800.0,1499500.0,17740000.0,19085000.0,19211000.0,6.753274015202895,-0.00033999999999999997,SP(Sec/SPI),0.8228040000000001,0.177196,CS pos: 32-33. ISS-DL. Pr: 0.7332
cgd2_2120-RA-p1,59,545.230798,0.00033999999999999997,-,2.906578314837765,2.7365803794878083,-545.230798,High mobility group box domain containing protein,815090.0,813340.0,856110.0,26542000.0,10905000.0,16501000.0,618360000.0,369020000.0,199360000.0,2591500000.0,2217300000.0,1402000000.0,8.793206542457607,-0.00033999999999999997,OTHER,0.000366,0.999634,
cgd3_440-RA-p1,60,523.278818,0.00033999999999999997,-,2.906578314837765,2.718733155125863,-523.278818,C-type lectin containing protein,0.0,0.0,0.0,453340.0,565210.0,650350.0,933830.0,535020.0,504710.0,6934900.0,5608200.0,6673300.0,6.27987332174153,-0.00033999999999999997,OTHER,0.0018440000000000002,0.9981559999999999,
cgd7_3810-RA-p1,61,520.876184,0.00033999999999999997,+,2.906578314837765,-2.716734500658197,520.876184,Uncharacterized protein,165680.0,239980.0,188690.0,31053.0,13873.0,0.0,7943900.0,6565300.0,6335300.0,115290.0,78621.0,87314.0,6.258577445399593,-0.00033999999999999997,SP(Sec/SPI),0.7537149999999999,0.246285,CS pos: 33-34. ANG-EG. Pr: 0.4683
cgd8_600-RA-p1,62,514.291695,0.00033999999999999997,-,2.906578314837765,2.711209511206577,-514.291695,"Serine aminopeptidase, S33",0.0,141650.0,0.0,4242900.0,5924100.0,6870500.0,7056300.0,10709000.0,10612000.0,46534000.0,53439000.0,54029000.0,7.220888876003137,-0.00033999999999999997,OTHER,0.468104,0.531896,
cgd1_3560-RA-p1,63,510.424484,0.00033999999999999997,-,2.906578314837765,2.707931498415032,-510.424484,Uncharacterized protein,0.0,0.0,0.0,2948900.0,3573600.0,9070500.0,17347000.0,9167500.0,6328300.0,84713000.0,102530000.0,93396000.0,7.438113379972126,-0.00033999999999999997,OTHER,0.00025299999999999997,0.9997469999999999,
cgd4_3430-RA-p1,64,503.438943,0.00033999999999999997,+,2.906578314837765,-2.7019468069132944,503.438943,Uncharacterized protein,77248.0,108230.0,60990.0,15326.0,43257.0,26129.0,5076200.0,3900600.0,3491700.0,14063.0,37761.0,0.0,6.029772709688079,-0.00033999999999999997,SP(Sec/SPI),0.970879,0.029120999999999998,CS pos: 23-24. TLG-GD. Pr: 0.6963
cgd6_5380-RA-p1,65,502.738428,0.00033999999999999997,+,2.906578314837765,-2.701342082822068,502.738428,Uncharacterized protein,60511.0,79612.0,36531.0,8690.8,7705.3,11923.0,3477200.0,2175600.0,2182700.0,38123.0,0.0,0.0,5.8281546495045,-0.00033999999999999997,OTHER,0.301219,0.698781,
cgd6_3520-RA-p1,66,491.36129900000003,0.00033999999999999997,+,2.906578314837765,-2.691400947234345,491.36129900000003,unspecified product,156290.0,337770.0,222290.0,66979.0,127680.0,166280.0,10287000.0,6530100.0,6974500.0,52442.0,6402.5,54107.0,6.318443185170191,-0.00033999999999999997,OTHER,0.0019690000000000003,0.998031,
cgd8_3600-RA-p1,67,488.796404,0.00033999999999999997,+,2.906578314837765,-2.6891280022085127,488.796404,Uncharacterized protein,450890.0,296510.0,321020.0,136380.0,136300.0,191340.0,12230000.0,18646000.0,12319000.0,59021.0,159020.0,49928.0,6.573986957779238,-0.00033999999999999997,SP(Sec/SPI),0.8548959999999999,0.14510399999999998,CS pos: 37-38. SEC-SK. Pr: 0.8339
cgd8_3330-RA-p1,68,486.86416399999996,0.00033999999999999997,-,2.906578314837765,2.6874078091529667,-486.86416399999996,Translation initiation factor 1A,375960.0,188550.0,450290.0,9026600.0,8883500.0,15007000.0,31145000.0,26584000.0,14557000.0,20767000.0,29425000.0,21649000.0,7.171382440046269,-0.00033999999999999997,OTHER,0.0020469999999999998,0.9979530000000001,
cgd5_4230-RA-p1,69,477.17661799999996,0.00043,-,2.876148359032914,2.6786791547754105,-477.17661799999996,EGF-like domain containing protein,0.0,0.0,0.0,26624.0,78070.0,191630.0,167940.0,222150.0,0.0,3433000.0,2843500.0,2872300.0,5.9136025679289315,-0.00043,SP(Sec/SPI),0.569876,0.43012399999999995,CS pos: 28-29. IPC-ED. Pr: 0.2944
cgd2_920-RA-p1,70,477.016917,0.00043,+,2.876148359032914,-2.678533781198336,477.016917,Peptidase M16(Insulinase),476670.0,836890.0,466220.0,46025.0,34560.0,164990.0,5557000.0,5121600.0,5231000.0,124320.0,118850.0,93024.0,6.182584613218935,-0.00043,OTHER,0.000834,0.999166,
cgd7_4340-RA-p1,71,465.646959,0.0007,+,2.7958800173440754,-2.668056771053784,465.646959,Uncharacterized Secreted Protein,123110.0,182330.0,84985.0,11388.0,24422.0,21782.0,1509500.0,1279900.0,1502500.0,0.0,0.0,0.0,5.596589490825279,-0.0007,SP(Sec/SPI),0.910344,0.089656,CS pos: 26-27. LEA-NP. Pr: 0.6384
cgd6_3330-RA-p1,72,463.699817,0.0007,+,2.7958800173440754,-2.666236924500709,463.699817,SPX/VTC domain containing protein,829340.0,863390.0,400490.0,30243.0,34591.0,26232.0,9638600.0,6300200.0,6440000.0,348120.0,272100.0,242790.0,6.326098436353185,-0.0007,OTHER,0.00034500000000000004,0.999655,
cgd8_4240-RA-p1,73,455.55275199999994,0.00082,+,2.7644715530924513,-2.6585386745603894,455.55275199999994,Cleavage/polyadenylation specificity factor subunit A,171980.0,126830.0,80372.0,0.0,10533.0,6850.0,2890700.0,1899200.0,1886900.0,0.0,0.0,0.0,5.770444823090373,-0.00082,OTHER,0.00286,0.9971399999999999,
cgd8_2800-RA-p1,74,436.40606900000006,0.00082,-,2.7644715530924513,2.6398907815929387,-436.40606900000006,Signal peptide LNR (Lin-12/Notch) repeat containing protein,0.0,0.0,0.0,5749000.0,6472600.0,9486200.0,5710700.0,5245800.0,3814800.0,42921000.0,41788000.0,36914000.0,7.11975639246368,-0.00082,SP(Sec/SPI),0.9069440000000001,0.093056,CS pos: 23-24. VES-GD. Pr: 0.6840
cgd8_3350-RA-p1,75,420.52406500000006,0.00082,-,2.7644715530924513,2.6237908538739005,-420.52406500000006,Oocyst wall protein 4,0.0,0.0,0.0,48166000.0,49571000.0,74118000.0,32900000.0,32629000.0,30645000.0,280380000.0,292960000.0,250550000.0,7.959009176975148,-0.00082,SP(Sec/SPI),0.958276,0.041724000000000004,CS pos: 17-18. SSS-RD. Pr: 0.5117
