,id,rank,FDR,sign,log_FDR,log_rank,srank,desc,log_sum,Prediction,SP(Sec/SPI),OTHER,CS Position,TM,SP,PREDICTION,Gene_id,Gene_acc,SignedRank,log10iBAQ,Desc,t_gondii_ortho,p_falciparum,p_falciparum_ortho,n_caninum_ortho
cgd5_4230-RA-p1,32,22.445954999999998,0.2,+,0.6970200632517508,1.3511380879023835,22.445954999999998,EGF-like domain containing protein,6.180044592721136,SP(Sec/SPI),0.569876,0.43012399999999995,CS pos: 28-29. IPC-ED. Pr: 0.2944,7,Y,n10-21c28/29o673-693i700-719o731-750i757-776o782-801i935-952o958-981i,cgd5_4230-RA-p1,32,22.445954999999998,6.180044592721136,EGF-like domain containing protein,False,False,False,False
cgd1_370-RA-p1,33,22.067086,0.20090999999999998,+,0.6950573175975354,1.3437449875488474,22.067086,carboxypeptidase A with signal peptide region,7.094377364951868,OTHER,0.164825,0.835175,,1,Y,n10-22c27/28o697-720i,cgd1_370-RA-p1,33,22.067086,7.094377364951868,carboxypeptidase A with signal peptide region,False,False,False,False
cgd2_490-RA-p1,34,22.045317,0.20090999999999998,+,0.6950573175975354,1.3433163481322183,22.045317,Uncharacterized protein,9.389108455276713,SP(Sec/SPI),0.9418479999999999,0.058151999999999995,CS pos: 25-26. VKS-QK. Pr: 0.7943,0,Y,n9-20c25/26o,cgd2_490-RA-p1,34,22.045317,9.389108455276713,Uncharacterized protein,False,False,False,False
cgd6_3820-RA-p1,35,21.9622,0.20090999999999998,+,0.6950573175975354,1.341675842153463,21.9622,Aspartic peptidase A1 family,7.209981496452005,SP(Sec/SPI),0.97021,0.029789999999999997,CS pos: 18-19. AFC-EG. Pr: 0.5523,1,Y,n2-12c16/17o447-466i,cgd6_3820-RA-p1,35,21.9622,7.209981496452005,Aspartic peptidase A1 family,True,False,True,True
cgd5_3073-RA-p1,36,21.673241,0.20090999999999998,+,0.6950573175975354,1.3359238602431562,21.673241,Carboxylic ester hydrolase,7.434297331868858,OTHER,0.34573200000000004,0.6542680000000001,,0,Y,n9-19c27/28o,cgd5_3073-RA-p1,36,21.673241,7.434297331868858,Carboxylic ester hydrolase,False,False,False,False
cgd7_180-RA-p1,37,21.382019,0.20090999999999998,+,0.6950573175975354,1.3300487111234498,21.382019,Uncharacterized protein,7.87444605989493,SP(Sec/SPI),0.981498,0.018502,CS pos: 21-22. ISC-EE. Pr: 0.8595,0,Y,n7-16c21/22o,cgd7_180-RA-p1,37,21.382019,7.87444605989493,Uncharacterized protein,False,False,False,False
cgd6_2900-RA-p1,38,21.070053,0.20090999999999998,+,0.6950573175975354,1.3236656280418255,21.070053,Exostosin-like protein,6.893886541395651,OTHER,0.001078,0.998922,,0,0,o,cgd6_2900-RA-p1,38,21.070053,6.893886541395651,Exostosin-like protein,False,False,False,False
cgd4_2420-RA-p1,39,21.002129999999998,0.20090999999999998,-,0.6950573175975354,-1.3222633423689913,-21.002129999999998,Sushi/SCR/CCP domain containing protein,6.15527443211865,OTHER,0.413721,0.586279,,1,Y,n18-29c34/35o559-580i,cgd4_2420-RA-p1,39,-21.002129999999998,6.15527443211865,Sushi/SCR/CCP domain containing protein,False,False,False,False
cgd4_3310-RA-p1,40,20.872588,0.20090999999999998,-,0.6950573175975354,-1.3195763007394616,-20.872588,Phosphoacetylglucosamine mutase,6.431776764070729,OTHER,0.000651,0.9993489999999999,,0,0,o,cgd4_3310-RA-p1,40,-20.872588,6.431776764070729,Phosphoacetylglucosamine mutase,True,False,False,True
cgd1_3550-RA-p1,41,19.978645999999998,0.22073,+,0.6543714535436935,1.3005660517250837,19.978645999999998,Apple domain containing protein,7.212571549899752,OTHER,0.001928,0.998072,,0,0,o,cgd1_3550-RA-p1,41,19.978645999999998,7.212571549899752,Apple domain containing protein,False,False,False,False
cgd4_500-RA-p1,42,19.737609,0.22286,+,0.6502175466365292,1.2952945413934407,19.737609,Oocyst wall protein 7,7.5121950502702886,SP(Sec/SPI),0.568969,0.43103100000000005,CS pos: 35-36. INS-EN. Pr: 0.5226,0,Y,n18-29c35/36o,cgd4_500-RA-p1,42,19.737609,7.5121950502702886,Oocyst wall protein 7,True,False,False,True
cgd3_1480-RA-p1,43,19.256513,0.23465,-,0.6279168914257475,-1.284577647172538,-19.256513,Pp2c protein phosphatase 2 C,6.55856546172175,OTHER,0.009666,0.990334,,0,Y,n28-38c43/44o,cgd3_1480-RA-p1,43,-19.256513,6.55856546172175,Pp2c protein phosphatase 2 C,False,False,False,False
cgd1_3340-RA-p1,44,18.305281,0.26682,-,0.5723191836685374,-1.2625764000196658,-18.305281,HAD-superfamily hydrolase subfamily IIB,6.778227245268618,OTHER,0.000925,0.999075,,0,0,o,cgd1_3340-RA-p1,44,-18.305281,6.778227245268618,HAD-superfamily hydrolase subfamily IIB,True,False,True,True
cgd3_440-RA-p1,45,18.301458,0.26682,+,0.5723191836685374,1.2624856895190473,18.301458,C-type lectin containing protein,6.620952843173795,OTHER,0.0018440000000000002,0.9981559999999999,,1,0,o280-303i,cgd3_440-RA-p1,45,18.301458,6.620952843173795,C-type lectin containing protein,False,False,False,False
cgd7_2583-RA-p1,46,18.300892,0.26682,+,0.5723191836685374,1.2624722581040273,18.300892,Polysaccharide pyruvyl transferase,6.409327308000392,OTHER,0.003773,0.9962270000000001,,11,0,i12-37o57-83i235-253o259-280i289-310o316-337i349-376o382-403i410-430o436-453i504-523o,cgd7_2583-RA-p1,46,18.300892,6.409327308000392,Polysaccharide pyruvyl transferase,False,False,False,False
cgd8_2800-RA-p1,47,18.075075,0.26682,+,0.5723191836685374,1.2570801080146219,18.075075,Signal peptide LNR (Lin-12/Notch) repeat containing protein,7.451071025508713,SP(Sec/SPI),0.9069440000000001,0.093056,CS pos: 23-24. VES-GD. Pr: 0.6840,0,Y,n4-15c20/21o,cgd8_2800-RA-p1,47,18.075075,7.451071025508713,Signal peptide LNR (Lin-12/Notch) repeat containing protein,False,False,False,False
cgd2_2480-RA-p1,48,17.815769,0.26682,-,0.5723191836685374,-1.2508045729822173,-17.815769,Methionine aminopeptidase 2,6.226504616301312,OTHER,0.000205,0.9997950000000001,,0,0,o,cgd2_2480-RA-p1,48,-17.815769,6.226504616301312,Methionine aminopeptidase 2,True,False,True,True
cgd1_3560-RA-p1,49,17.78797,0.26682,+,0.5723191836685374,1.2501263883255005,17.78797,Uncharacterized protein,7.7778604169962176,OTHER,0.00025299999999999997,0.9997469999999999,,0,0,o,cgd1_3560-RA-p1,49,17.78797,7.7778604169962176,Uncharacterized protein,False,False,False,False
cgd5_1140-RA-p1,50,17.440765,0.2696,-,0.5678327305574117,-1.2415655303667417,-17.440765,Cinnamyl-alcohol dehydrogenase-like nucleoside diphosphate sugar epimerase,6.791048649049568,OTHER,0.0009460000000000001,0.9990540000000001,,0,0,o,cgd5_1140-RA-p1,50,-17.440765,6.791048649049568,Cinnamyl-alcohol dehydrogenase-like nucleoside diphosphate sugar epimerase,False,False,False,False
cgd6_3930-RA-p1,51,15.832932000000001,0.35059,+,0.4540870262817035,1.1995613465434511,15.832932000000001,Uncharacterized protein,6.367172845026937,OTHER,0.000195,0.9998049999999999,,0,0,o,cgd6_3930-RA-p1,51,15.832932000000001,6.367172845026937,Uncharacterized protein,False,False,False,False
cgd5_1210-RA-p1,52,15.775954999999998,0.35059,+,0.4540870262817035,1.1979956587989895,15.775954999999998,Uncharacterized protein,6.4347599302992755,OTHER,0.048656,0.9513440000000001,,0,0,o,cgd5_1210-RA-p1,52,15.775954999999998,6.4347599302992755,Uncharacterized protein,False,False,False,False
cgd1_3840-RA-p1,53,15.557289,0.35189000000000004,+,0.4524837336489759,1.191933919458398,15.557289,Insulinase-like peptidase/telomeric protein,6.146037548235072,OTHER,0.000263,0.9997370000000001,,1,0,o620-640i,cgd1_3840-RA-p1,53,15.557289,6.146037548235072,Insulinase-like peptidase/telomeric protein,False,False,False,False
cgd8_1160-RA-p1,54,15.451247,0.35189000000000004,+,0.4524837336489759,1.1889635351113201,15.451247,Uncharacterized Secreted Protein,6.418225034449032,SP(Sec/SPI),0.995557,0.004443,CS pos: 23-24. VNS-QE. Pr: 0.7555,1,Y,n4-15c23/24o501-519i,cgd8_1160-RA-p1,54,15.451247,6.418225034449032,Uncharacterized Secreted Protein,False,False,False,False
cgd6_750-RA-p1,55,15.042074,0.372,-,0.4284076166386928,-1.1773077208737448,-15.042074,Protein phosphatase-1 regulatory subunit 7 alpha2,6.365844602614878,OTHER,0.0008730000000000001,0.9991270000000001,,0,0,o,cgd6_750-RA-p1,55,-15.042074,6.365844602614878,Protein phosphatase-1 regulatory subunit 7 alpha2,True,False,True,True
cgd4_2590-RA-p1,56,14.639594,0.39,-,0.40793432956775283,-1.1655290325963743,-14.639594,Glycerophosphodiester phosphodiesterase-like protein,6.57969558592304,SP(Sec/SPI),0.582955,0.417045,CS pos: 17-18. AKA-SL. Pr: 0.4607,0,0,o,cgd4_2590-RA-p1,56,-14.639594,6.57969558592304,Glycerophosphodiester phosphodiesterase-like protein,False,False,False,False
cgd6_4610-RA-p1,57,14.360312,0.4007,-,0.3962062958630371,-1.1571638757284521,-14.360312,Uncharacterized protein with WD40 repeat,5.91294085573138,OTHER,0.003237,0.996763,,0,0,o,cgd6_4610-RA-p1,57,-14.360312,5.91294085573138,Uncharacterized protein with WD40 repeat,True,False,False,True
cgd2_850-RA-p1,58,14.037004999999999,0.41776,+,0.37813853089077326,1.1472744546081468,14.037004999999999,Uncharacterized protein,7.751766387669954,SP(Sec/SPI),0.544608,0.455392,CS pos: 27-28. VIG-EI. Pr: 0.4951,0,Y,n9-20c27/28o,cgd2_850-RA-p1,58,14.037004999999999,7.751766387669954,Uncharacterized protein,False,False,False,False
cgd6_20-RA-p1,59,13.337557,0.46475,-,0.3319403927090597,-1.1250762884574614,-13.337557,IMP dehydrogenase/GMP reductase,6.330526019230922,OTHER,0.000898,0.999102,,0,0,o,cgd6_20-RA-p1,59,-13.337557,6.330526019230922,IMP dehydrogenase/GMP reductase,True,False,False,True
cgd3_1460-RA-p1,60,13.095142,0.479,-,0.31884925006757864,-1.1171102121527794,-13.095142,GAF domain containing protein,6.304615024912668,OTHER,0.000891,0.999109,,0,0,o,cgd3_1460-RA-p1,60,-13.095142,6.304615024912668,GAF domain containing protein,False,False,False,False
cgd7_5280-RA-p1,61,12.938350999999999,0.48443,-,0.3139628625446585,-1.1118789287874205,-12.938350999999999,PH1/SSRP1-like domain containing protein,6.862976595365149,OTHER,0.002618,0.997382,,0,0,o,cgd7_5280-RA-p1,61,-12.938350999999999,6.862976595365149,PH1/SSRP1-like domain containing protein,True,False,True,True
cgd7_3980-RA-p1,62,12.751114999999999,0.49323,-,0.3061587780900594,-1.1055481625876207,-12.751114999999999,PX/WD40 domain containing protein,5.9194961393679115,OTHER,0.000433,0.999567,,0,0,o,cgd7_3980-RA-p1,62,-12.751114999999999,5.9194961393679115,PX/WD40 domain containing protein,True,False,False,True
cgd6_4970-RA-p1,63,12.596917999999999,0.49905,-,0.3010734272837887,-1.1002643023143834,-12.596917999999999,Hsp60 GroEL-like chaperone (ATpase),6.901658167117843,OTHER,0.001161,0.9988389999999999,,0,0,o,cgd6_4970-RA-p1,63,-12.596917999999999,6.901658167117843,Hsp60 GroEL-like chaperone (ATpase),True,False,True,True
cgd3_1780-RA-p1,64,12.358244000000001,0.5160899999999999,+,0.2865178572674134,1.09195676563236,12.358244000000001,Uncharacterized protein,5.478931861027784,SP(Sec/SPI),0.505911,0.49408900000000006,CS pos: 20-21. LNV-LY. Pr: 0.1429,0,Y,n5-12c17/18o,cgd3_1780-RA-p1,64,12.358244000000001,5.478931861027784,Uncharacterized protein,False,False,False,False
cgd2_660-RA-p1,65,12.208072,0.5956899999999999,-,0.22432403052678365,-1.0866470819730667,-12.208072,Uncharacterized protein,5.846718447413758,OTHER,0.261193,0.738807,,3,0,o6-28i251-270o345-365i,cgd2_660-RA-p1,65,-12.208072,5.846718447413758,Uncharacterized protein,False,False,False,False
cgd6_3840-RA-p1,66,12.208072,0.5956899999999999,-,0.22432403052678365,-1.0866470819730667,-12.208072,SET domain containing protein,5.2189274361890385,OTHER,0.000463,0.9995370000000001,,0,0,o,cgd6_3840-RA-p1,66,-12.208072,5.2189274361890385,SET domain containing protein,False,False,False,True
cgd6_4200-RA-p1,67,12.208072,0.5956899999999999,-,0.22432403052678365,-1.0866470819730667,-12.208072,Serine/threonine-protein phosphatase,6.1423828953312904,OTHER,0.000542,0.999458,,0,0,o,cgd6_4200-RA-p1,67,-12.208072,6.1423828953312904,Serine/threonine-protein phosphatase,True,False,True,True
cgd4_810-RA-p1,68,12.208072,0.5956899999999999,-,0.22432403052678365,-1.0866470819730667,-12.208072,UDP-N-acetylglucosamine pyrophosphorylase,6.166894011438984,OTHER,0.00035499999999999996,0.9996450000000001,,0,0,o,cgd4_810-RA-p1,68,-12.208072,6.166894011438984,UDP-N-acetylglucosamine pyrophosphorylase,True,False,True,True
cgd1_1620-RA-p1,69,12.208072,0.5956899999999999,-,0.22432403052678365,-1.0866470819730667,-12.208072,RPB7 like OB fold RNA polymerase subunit,5.813995294171284,OTHER,0.000446,0.999554,,0,0,o,cgd1_1620-RA-p1,69,-12.208072,5.813995294171284,RPB7 like OB fold RNA polymerase subunit,True,False,True,True
cgd7_1300-RA-p1,70,12.208072,0.5956899999999999,-,0.22432403052678365,-1.0866470819730667,-12.208072,Protein kinase-like domain containing protein,5.900865507341667,SP(Sec/SPI),0.8245709999999999,0.175429,CS pos: 27-28. IYA-EG. Pr: 0.3957,0,Y,n8-19c27/28o,cgd7_1300-RA-p1,70,-12.208072,5.900865507341667,Protein kinase-like domain containing protein,False,False,False,False
cgd3_3940-RA-p1,71,12.208072,0.5956899999999999,-,0.22432403052678365,-1.0866470819730667,-12.208072,membrane associated protein,5.83962153149359,OTHER,0.0033490000000000004,0.9966510000000001,,1,0,i81-104o,cgd3_3940-RA-p1,71,-12.208072,5.83962153149359,membrane associated protein,False,False,False,False
cgd3_2010-RA-p1,72,12.208072,0.5956899999999999,-,0.22432403052678365,-1.0866470819730667,-12.208072,Uncharacterized protein with EF-hand domain,5.444235604029098,SP(Sec/SPI),0.8355549999999999,0.164445,CS pos: 31-32. IEG-KD. Pr: 0.7601,7,Y,n11-26c31/32o79-100i121-145o195-215i518-551o571-590i702-722o734-759i,cgd3_2010-RA-p1,72,-12.208072,5.444235604029098,Uncharacterized protein with EF-hand domain,False,False,False,False
cgd3_350-RA-p1,73,12.208072,0.5956899999999999,-,0.22432403052678365,-1.0866470819730667,-12.208072,Pop2p-like 35 exonuclease/CCR4-NOT transcription complex,5.529786986461822,OTHER,0.001794,0.9982059999999999,,0,0,o,cgd3_350-RA-p1,73,-12.208072,5.529786986461822,Pop2p-like 35 exonuclease/CCR4-NOT transcription complex,False,False,False,False
cgd1_3820-RA-p1,74,12.208072,0.5956899999999999,+,0.22432403052678365,1.0866470819730667,12.208072,Uncharacterized protein,6.09093847879346,OTHER,0.000261,0.9997389999999999,,2,0,i42-62o963-986i,cgd1_3820-RA-p1,74,12.208072,6.09093847879346,Uncharacterized protein,False,False,False,False
cgd5_790-RA-p1,75,12.208072,0.5956899999999999,+,0.22432403052678365,1.0866470819730667,12.208072,Glycosyltransferase family 92,5.987058930308149,OTHER,0.043864999999999994,0.9561350000000001,,1,0,i7-28o,cgd5_790-RA-p1,75,12.208072,5.987058930308149,Glycosyltransferase family 92,False,False,False,False
cgd3_2130-RA-p1,76,12.208072,0.5956899999999999,+,0.22432403052678365,1.0866470819730667,12.208072,Uncharacterized protein,6.077879429357674,SP(Sec/SPI),0.988866,0.011134,CS pos: 25-26. CQS-YE. Pr: 0.7022,0,Y,n8-19c23/24o,cgd3_2130-RA-p1,76,12.208072,6.077879429357674,Uncharacterized protein,False,False,False,False
cgd8_1220-RA-p1,77,12.208072,0.5956899999999999,+,0.22432403052678365,1.0866470819730667,12.208072,Alpha/Beta hydrolase fold containing protein,5.348128577720524,OTHER,0.001628,0.9983719999999999,,0,0,o,cgd8_1220-RA-p1,77,12.208072,5.348128577720524,Alpha/Beta hydrolase fold containing protein,False,False,False,True
